wpm,raw,accuracy,consistency,date,epoch,song,track uri,tempo (bpm),artist genres
127.91,142.31,96.09%,86.16%,15 Mar 2023  18:52,1678931520,no_matches,no_matches,no_matches,no_matches
111.93,126.32,93.17%,79.46%,15 Mar 2023  13:40,1678912800,no_matches,no_matches,no_matches,no_matches
129.43,129.43,98.79%,74.07%,14 Mar 2023  05:47,1678798020,no_matches,no_matches,no_matches,no_matches
122.4,142.4,94.94%,88.54%,13 Mar 2023  22:22,1678771320,no_matches,no_matches,no_matches,no_matches
135.91,146.3,96.77%,82.63%,13 Mar 2023  22:06,1678770360,no_matches,no_matches,no_matches,no_matches
105.6,119.2,94.12%,68.96%,13 Mar 2023  22:05,1678770300,no_matches,no_matches,no_matches,no_matches
121.52,137.51,94.77%,85.45%,13 Mar 2023  22:05,1678770300,no_matches,no_matches,no_matches,no_matches
116.72,132.71,92.26%,81.79%,13 Mar 2023  17:44,1678754640,no_matches,no_matches,no_matches,no_matches
99.2,148.8,82.89%,82.95%,13 Mar 2023  17:44,1678754640,no_matches,no_matches,no_matches,no_matches
127.12,140.71,91.48%,79.96%,13 Mar 2023  17:43,1678754580,no_matches,no_matches,no_matches,no_matches
127.12,127.12,100.00%,80.88%,13 Mar 2023  16:38,1678750680,no_matches,no_matches,no_matches,no_matches
98.27,124.63,90.45%,82.60%,13 Mar 2023  15:08,1678745280,no_matches,no_matches,no_matches,no_matches
111.13,127.91,95.63%,81.67%,11 Mar 2023  22:44,1678603440,Seven Rules,spotify:track:4BDHN09qCptAVZ96SSPzCu,125.051,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
137.51,143.1,96.11%,84.19%,11 Mar 2023  22:43,1678603380,Seven Rules,spotify:track:4BDHN09qCptAVZ96SSPzCu,125.051,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
112.72,142.31,85.47%,79.37%,11 Mar 2023  20:02,1678593720,no_matches,no_matches,no_matches,no_matches
126.23,140.61,94.41%,86.16%,11 Mar 2023  20:01,1678593660,no_matches,no_matches,no_matches,no_matches
113.6,128.8,92.55%,88.48%,11 Mar 2023  19:56,1678593360,no_matches,no_matches,no_matches,no_matches
115.2,115.2,100.00%,78.55%,11 Mar 2023  17:36,1678584960,no_matches,no_matches,no_matches,no_matches
108.8,123.2,94.23%,81.49%,11 Mar 2023  17:06,1678583160,no_matches,no_matches,no_matches,no_matches
128.0,133.6,98.81%,83.31%,11 Mar 2023  17:00,1678582800,no_matches,no_matches,no_matches,no_matches
65.6,88.8,84.07%,70.18%,11 Mar 2023  14:24,1678573440,no_matches,no_matches,no_matches,no_matches
127.12,127.12,100.00%,86.75%,11 Mar 2023  14:23,1678573380,no_matches,no_matches,no_matches,no_matches
135.11,137.51,98.27%,82.99%,10 Mar 2023  14:31,1678487460,no_matches,no_matches,no_matches,no_matches
111.13,118.32,96.67%,76.91%,08 Mar 2023  12:37,1678307820,no_matches,no_matches,no_matches,no_matches
120.0,120.0,98.04%,81.33%,08 Mar 2023  12:19,1678306740,no_matches,no_matches,no_matches,no_matches
124.72,129.51,96.39%,84.71%,08 Mar 2023  12:13,1678306380,no_matches,no_matches,no_matches,no_matches
118.32,127.91,95.63%,85.61%,07 Mar 2023  16:30,1678235400,no_matches,no_matches,no_matches,no_matches
118.32,122.32,98.05%,83.91%,07 Mar 2023  16:28,1678235280,no_matches,no_matches,no_matches,no_matches
131.11,136.71,97.69%,82.41%,07 Mar 2023  16:27,1678235220,no_matches,no_matches,no_matches,no_matches
126.32,136.71,95.91%,84.71%,07 Mar 2023  16:27,1678235220,no_matches,no_matches,no_matches,no_matches
119.2,125.6,98.09%,84.85%,07 Mar 2023  16:26,1678235160,no_matches,no_matches,no_matches,no_matches
126.32,126.32,97.53%,80.52%,07 Mar 2023  16:09,1678234140,no_matches,no_matches,no_matches,no_matches
124.0,125.6,95.09%,79.60%,07 Mar 2023  16:08,1678234080,no_matches,no_matches,no_matches,no_matches
118.32,128.71,95.06%,81.42%,06 Mar 2023  18:25,1678155900,no_matches,no_matches,no_matches,no_matches
123.92,135.91,96.47%,83.36%,05 Mar 2023  20:08,1678075680,no_matches,no_matches,no_matches,no_matches
111.13,131.11,90.36%,85.82%,05 Mar 2023  18:18,1678069080,no_matches,no_matches,no_matches,no_matches
115.12,130.31,95.09%,88.92%,05 Mar 2023  16:25,1678062300,no_matches,no_matches,no_matches,no_matches
111.93,116.72,98.03%,74.81%,05 Mar 2023  14:51,1678056660,no_matches,no_matches,no_matches,no_matches
123.12,127.91,98.15%,79.94%,05 Mar 2023  14:10,1678054200,no_matches,no_matches,no_matches,no_matches
126.32,130.31,97.56%,82.18%,04 Mar 2023  22:19,1677997140,no_matches,no_matches,no_matches,no_matches
103.13,107.93,94.33%,73.71%,04 Mar 2023  22:18,1677997080,no_matches,no_matches,no_matches,no_matches
137.51,142.31,98.88%,91.37%,04 Mar 2023  22:16,1677996960,no_matches,no_matches,no_matches,no_matches
107.2,137.6,90.12%,82.31%,04 Mar 2023  21:22,1677993720,no_matches,no_matches,no_matches,no_matches
124.8,145.6,93.41%,83.83%,04 Mar 2023  09:59,1677952740,no_matches,no_matches,no_matches,no_matches
